,tweet,locacion
124,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Juan
125,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",ElÃ­as PiÃ±a
126,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San JosÃ© de Ocoa
127,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",CuauhtÃ©moc
128,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Civac
129,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Civac
130,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Civac
131,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",EEUU
132,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Capitolio
133,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",EEUU
134,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Capitolio
135,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",EEUU
136,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Capitolio
137,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",EEUU
138,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Capitolio
139,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Hidalgo
140,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Lomas de Los Ãngeles Tetelpan
141,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro ObregÃ³n
142,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a Gustavo A. Madero
143,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",avenida ConstituciÃ³n de la RepÃºblica
144,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",en
145,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV","colonia Providencia, AlcaldÃ­a Gustavo A. Madero"
146,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Colonia Guadalupe
147,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#CuliacÃ¡n
148,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Avenida Ãlvaro ObregÃ³n
149,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",TorreÃ³n
150,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Qatar
151,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#CdMx
152,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#Iztapalapa
153,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",campus Ãlvaro
154,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV","colonia Tierra Nueva, A."
155,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",comuna
156,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",puente alto
157,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",comuna
158,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",puente alto
159,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",©moc
160,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",RÃ­o Rhin
161,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Museo del Risco
162,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",MÃ©xico
